,v_no,village,t_no,town,d_no,district,c_no,city
0,121,虚拟社区,659006101,双丰镇,659006,铁门关市,6590,自治区直辖县级行政区划
1,111,虚拟社区,659006100,博古其镇,659006,铁门关市,6590,自治区直辖县级行政区划
2,123,团部,659004502,兵团一零三团,659004,五家渠市,6590,自治区直辖县级行政区划
3,220,一连,659004502,兵团一零三团,659004,五家渠市,6590,自治区直辖县级行政区划
4,220,二连,659004502,兵团一零三团,659004,五家渠市,6590,自治区直辖县级行政区划
5,220,三连,659004502,兵团一零三团,659004,五家渠市,6590,自治区直辖县级行政区划
6,220,六连,659004502,兵团一零三团,659004,五家渠市,6590,自治区直辖县级行政区划
7,220,七连,659004502,兵团一零三团,659004,五家渠市,6590,自治区直辖县级行政区划
8,220,八连,659004502,兵团一零三团,659004,五家渠市,6590,自治区直辖县级行政区划
9,220,九连,659004502,兵团一零三团,659004,五家渠市,6590,自治区直辖县级行政区划
10,220,十连,659004502,兵团一零三团,659004,五家渠市,6590,自治区直辖县级行政区划
11,220,十二连,659004502,兵团一零三团,659004,五家渠市,6590,自治区直辖县级行政区划
12,220,十三连,659004502,兵团一零三团,659004,五家渠市,6590,自治区直辖县级行政区划
13,220,十四连,659004502,兵团一零三团,659004,五家渠市,6590,自治区直辖县级行政区划
14,123,团部,659004501,兵团一零二团,659004,五家渠市,6590,自治区直辖县级行政区划
15,220,一连,659004501,兵团一零二团,659004,五家渠市,6590,自治区直辖县级行政区划
16,220,二连,659004501,兵团一零二团,659004,五家渠市,6590,自治区直辖县级行政区划
17,220,三连,659004501,兵团一零二团,659004,五家渠市,6590,自治区直辖县级行政区划
18,220,四连,659004501,兵团一零二团,659004,五家渠市,6590,自治区直辖县级行政区划
19,220,五连,659004501,兵团一零二团,659004,五家渠市,6590,自治区直辖县级行政区划
20,220,六连,659004501,兵团一零二团,659004,五家渠市,6590,自治区直辖县级行政区划
21,220,七连,659004501,兵团一零二团,659004,五家渠市,6590,自治区直辖县级行政区划
22,220,八连,659004501,兵团一零二团,659004,五家渠市,6590,自治区直辖县级行政区划
23,220,九连,659004501,兵团一零二团,659004,五家渠市,6590,自治区直辖县级行政区划
24,111,团部,659004500,兵团一零一团,659004,五家渠市,6590,自治区直辖县级行政区划
25,220,一连,659004500,兵团一零一团,659004,五家渠市,6590,自治区直辖县级行政区划
26,220,三连,659004500,兵团一零一团,659004,五家渠市,6590,自治区直辖县级行政区划
27,220,四连,659004500,兵团一零一团,659004,五家渠市,6590,自治区直辖县级行政区划
28,220,五连,659004500,兵团一零一团,659004,五家渠市,6590,自治区直辖县级行政区划
29,220,二连,659004500,兵团一零一团,659004,五家渠市,6590,自治区直辖县级行政区划
30,220,六连,659004500,兵团一零一团,659004,五家渠市,6590,自治区直辖县级行政区划
31,111,青湖南路社区居民委员会,659004003,人民路街道办事处,659004,五家渠市,6590,自治区直辖县级行政区划
32,111,东城社区居民委员会,659004003,人民路街道办事处,659004,五家渠市,6590,自治区直辖县级行政区划
33,112,龙泉社区居民委员会,659004003,人民路街道办事处,659004,五家渠市,6590,自治区直辖县级行政区划
34,111,北海东街社区居民委员会,659004003,人民路街道办事处,659004,五家渠市,6590,自治区直辖县级行政区划
35,111,天山南路社区居民委员会,659004002,青湖路街道办事处,659004,五家渠市,6590,自治区直辖县级行政区划
36,111,猛进社区居民委员会,659004002,青湖路街道办事处,659004,五家渠市,6590,自治区直辖县级行政区划
37,111,龙河湾社区居民委员会,659004002,青湖路街道办事处,659004,五家渠市,6590,自治区直辖县级行政区划
38,111,友谊路社区居民委员会,659004002,青湖路街道办事处,659004,五家渠市,6590,自治区直辖县级行政区划
39,111,军垦南路社区居民委员会,659004001,军垦路街道办事处,659004,五家渠市,6590,自治区直辖县级行政区划
40,111,前进西街社区居民委员会,659004001,军垦路街道办事处,659004,五家渠市,6590,自治区直辖县级行政区划
41,111,振兴街社区居民委员会,659004001,军垦路街道办事处,659004,五家渠市,6590,自治区直辖县级行政区划
